,date,calories_burned,distance,floors,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity_calories
153,2018-12-07,3799.02557031905,7.00070025459144,19.65191765175546,634.4108390038526,230.6899032057,0.5413602369212263,87.53053100863193,2130.902437964646
154,2018-12-08,3911.4990880139753,7.666505409620738,23.108341005797687,562.3988921422705,249.854376144927,10.408646417514394,91.0530157277012,2299.3432617244403
155,2018-12-09,3879.65205056149,7.818070962271745,35.82171419926091,525.9975210525693,255.41773690219574,11.461463127184219,96.89093759550329,2368.231290662523
156,2018-12-10,3515.9884888793067,6.305556356865786,14.393244560541902,626.3591693370572,223.0423085977529,1.951539000646832,70.34299624903902,1847.0401227744742
157,2018-12-11,3538.7089185742707,6.593477730688059,21.14321672426974,644.6730302343034,226.23407205095623,7.679604150415274,75.92519775305598,1853.345288394036
158,2018-12-12,3582.9599876917323,6.473510244142766,21.110343280048433,649.8836133016864,229.47135989535428,3.4940705669201293,71.48246379982068,1906.9697644391554
159,2018-12-13,3841.069344967372,7.418318275849164,23.034966384048307,647.5496892757269,252.17932428120258,1.9485266026090717,86.92810364448816,2208.0258268609487
160,2018-12-14,3810.6255527590506,7.149661381732223,20.145131099248655,626.4651992102756,232.97613566706107,0.35239300132222884,90.80418019877587,2158.3951944553314
161,2018-12-15,3923.0951243842596,7.814820012813596,23.602825519174065,554.4945002158108,252.13548317285142,10.224470645822585,94.3081752681778,2326.7973587605743
162,2018-12-16,3891.2441132663967,7.9657353272175415,36.317471395983745,518.1343038146506,257.69370751421883,11.281961142200956,100.12730527140747,2395.64644501033
163,2018-12-17,3527.5765503643765,6.45256687129884,14.89027604953136,618.5370517872764,225.31313198816835,2.1264821802909717,73.56027862828847,1874.4160530412132
164,2018-12-18,3550.292951322345,6.739830884162874,21.641524105636528,636.8919355778557,228.4997375900444,7.850100862151841,79.12311023969835,1880.6817150313655
165,2018-12-19,3594.539964226062,6.619202627823649,21.609928145141026,642.1434629747351,231.73185712934716,3.6602305554088757,74.66073067988395,1934.2664097562931
166,2018-12-20,3852.645237852077,7.563346582260339,23.5358303154226,639.8504029719151,254.43464293197925,2.1104570705840846,90.08645812381688,2235.282415033632
167,2018-12-21,3822.1973345974284,7.294022404471441,20.647275670390215,618.8066949071135,235.22626563156837,0.19458734273717482,93.94236443295108,2185.611451531373
168,2018-12-22,3934.6627678208124,7.958510646256704,24.106252294657445,546.8766942004328,254.3804145230295,10.070687527378661,97.425940385107,2353.973012671493
169,2018-12-23,3902.8075909857225,8.108752566178483,36.82218193119341,510.5571107101902,259.9334304963821,11.132100687313885,103.22441138607891,2422.781225577055
170,2018-12-24,3539.135835092541,6.594907810677761,15.396271890720843,611.0003845783012,227.54763702278078,2.272517504096696,76.6364948503402,1901.5096919843058
171,2018-12-25,3561.8480158255406,6.881492718558011,22.148806789758105,629.3957056369609,230.72901527119873,7.992406291389052,82.17821467352204,1907.7339459764185
172,2018-12-26,3606.0907813135946,6.760182651132725,22.11849919987406,634.687580087599,233.95589822463972,3.7988990778948772,77.6945104177648,1961.2769682454796
173,2018-12-27,3864.191780373516,7.703642187236008,24.045691258934554,632.434775363571,256.6534383817717,2.2455794723232163,93.09870923178636,2262.2510385290243
174,2018-12-28,3833.7395754450945,7.433631082274279,21.158428011450297,611.4312292671298,237.4398065488174,0.06292243146450227,96.93289193010591,2212.5378794257094
175,2018-12-29,3946.200679927847,8.097429985963677,24.618697532350645,539.5412957089861,256.5886921926169,9.942393586482947,100.3945582158504,2380.8569862920613
